id,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,cluster
4Hjr7veLbfvORHDqB4kuR1,0.567,0.74,-6.195,0.0606,0.0,0.714,0.417,91.946,16
5tErNrwK58SgLMjZXJ5fdY,0.547,0.737,-6.397,0.361,0.0,0.173,0.323,130.022,13
4hKWUzhQWsOkgT6LnDEASe,0.874,0.487,-8.154,0.0641,2.96e-05,0.0524,0.746,144.956,2
3HVAZQagl1zpH9L8FcLMgN,0.7,0.705,-5.652,0.0372,0.0,0.0274,0.447,110.015,17
56LYsQITV7nEggGBVuu846,0.399,0.599,-6.987,0.204,0.0,0.188,0.0911,73.051,22
65iyI1iybyv5ecsfBHSdUf,0.843,0.7,-3.249,0.26,0.0,0.876,0.675,95.05,16
7lQWRAjyhTpCWFC0jmclT4,0.647,0.514,-10.05,0.0593,0.0,0.398,0.387,79.974,0
2xoPn7HkB4K4liMVojQQ3T,0.729,0.442,-8.106,0.285,0.0,0.189,0.757,81.029,25
550JPXXPgjr1xqxtKIaX6b,0.699,0.793,-4.856,0.268,2.75e-06,0.7,0.929,94.138,9
17larILaMHwsprsMFnYI77,0.778,0.578,-7.22,0.274,0.0,0.138,0.758,84.487,25
7N1Vjtzr1lmmCW9iasQ8YO,0.813,0.703,-5.077,0.268,1.26e-06,0.237,0.241,94.828,25
5PQmSHzWnlgG4EBuIqjac2,0.879,0.564,-7.682,0.247,9.43e-06,0.0519,0.523,93.908,25
6Fgk8pBAmzx0RBLaoSoX9L,0.692,0.717,-6.111,0.265,0.0,0.261,0.552,93.956,25
4hEl2wrneFEJbJ6SDYWd2f,0.854,0.954,-1.185,0.246,0.0,0.201,0.67,114.609,25
7w9bgPAmPTtrkt2v16QWvQ,0.701,0.728,-4.554,0.255,0.00115,0.361,0.0591,171.388,24
72UI0xxH2S2AkgbgHqfVEa,0.89,0.41,-8.829,0.0546,0.0,0.0729,0.483,106.509,25
27XVTa9Eb2nO6lhhY5SbTl,0.601,0.583,-7.323,0.45,0.0,0.142,0.475,137.676,25
5Rw35kLemvSdxXmpQveQ7B,0.882,0.545,-8.241,0.251,5.96e-05,0.129,0.782,94.983,25
1Y2xhmffUWAMHdbtJAoo8p,0.812,0.339,-10.73,0.148,7.43e-05,0.0812,0.241,127.961,17
